NAME,SIZE,LOCATION_HQ,INDUSTRY,RATING_OVERALL,RATING_DI,RATING_CV,RATING_WL,RATING_SM,RATING_CB,RATING_CO,NUM_REVIEWS,DESCRIPTION,MISSION
Arizona State University,5001 to 10000 Employees,"Tempe, AZ",Colleges & Universities,4.4,4.4,4.3,4.2,4.0,3.6,3.9,"See All 2,814 Reviews","Sun lovers and knowledge seekers can turn to Arizona State University (ASU) for a well-rounded college education. The research university offers a wide variety of bachelor's, master's, and doctoral degree programs, with more than 250 majors through 17 schools teaching a range of disciplines including nursing, journalism, and engineering. It has an enrollment of about 70,000 undergraduate, graduate, and professional students on its four campuses in metropolitan Phoenix; most students attend the Tempe campus. The university has a student-teacher ratio of 23:1. ASU was founded in 1885 as a teachers college.","Mission: ASU is a comprehensive public research university, measured not by whom it excludes, but by whom it includes and how they succeed; advancing research and discovery of public value; and assuming fundamental responsibility for the economic, social, cultural and overall health of the communities it serves."
"Washington University in St. Louis
Hiring Surge",10000+ Employees,"Saint Louis, MO",Colleges & Universities,4.4,4.1,4.1,4.0,3.8,3.9,4.0,"See All 1,644 Reviews","Washington University in St. Louis is the gateway to higher education for more than 13,000 students. Founded in 1853, the independent university offers bachelor's, master's, and doctoral degrees in more than 300 academic programs and has about 3,300 faculty members. It offers approximately 1,900 courses in fields such as arts and sciences, business, design and visual arts, engineering, law, medicine, and social work. The university, which has multiple campuses in and near the city of St. Louis, also offers associate degree and continuing education programs. The affiliated Washington University Medical Center is an acute-care hospital that also provides educational training and research services.",N/A
Yale University,10000+ Employees,"New Haven, CT",Colleges & Universities,4.4,3.9,4.1,3.9,3.8,4.2,4.1,"See All 1,521 Reviews","What do former President George W. Bush and actress Meryl Streep have in common? They are Yalies. Yale University is one of the nation's most prestigious private liberal arts institutions, as well as one of its oldest (founded in 1701). Its roughly $17 billion endowment ranks as one of the largest in the US. Yale comprises an undergraduate college, a graduate school, and more than a dozen professional schools. Programs of study include architecture, law, medicine, and drama. Its 12 residential colleges (a system borrowed from Oxford) serve as dormitory, dining hall, and social center. The school has around 14,000 students and nearly 4,000 faculty members.",N/A
University of Pennsylvania,10000+ Employees,"Philadelphia, PA",Colleges & Universities,4.4,3.9,4.2,4.1,3.8,3.9,4.1,"See All 2,525 Reviews","The University of Pennsylvania was founded by Benjamin Franklin when he had a little down time between establishing a country and experimenting with lightning. Since opening its doors to students in 1751, the Ivy League university has accumulated a notable list of accomplishments, including the creation of one of the first medical schools in the US. The university has about 21,000 students who pursue their studies in four undergraduate schools and a dozen graduate and professional schools, including the renowned Wharton School and the Annenberg School for Communications. Its student-teacher ratio is very low 6:1. Former president Judith Rodin was the first female to head an Ivy League university.",N/A
lululemon,10000+ Employees,"Vancouver, Canada","Department, Clothing, & Shoe Stores",4.4,4.3,4.5,4.1,4.1,4.2,4.0,"See All 3,029 Reviews",N/A,N/A
Georgia Tech,5001 to 10000 Employees,"Atlanta, GA",Colleges & Universities,4.4,4.4,4.1,3.9,3.8,3.5,4.2,"See All 2,067 Reviews","The Georgia Institute of Technology, commonly known as Georgia Tech, is one of the country's top engineering schools for both graduate and undergraduate students. The university also offers degrees through the Colleges of Architecture, Sciences, Computing, and Management, and the Ivan Allen College of Liberal Arts. It has an enrollment of roughly 20,000 students and a student-teacher ratio of 23:1. Along with its main campus in Atlanta, Georgia Institute of Technology operates satellite campuses in Savannah, Georgia, as well as in Asia, Europe, and Latin America. The Georgia Institute of Technology was founded in 1885 as the Georgia School of Technology.",N/A
UC Davis,10000+ Employees,"Davis, CA",Colleges & Universities,4.4,4.4,4.3,4.1,3.9,3.9,3.9,"See All 2,002 Reviews","If you want to grow grapes and make wine in Napa Valley or Sonoma County, you might want to swing by the University of California, Davis (UC Davis) first. The school, one of 10 University of California campuses, offers a wide variety of agricultural programs; its Viticulture and Enology department provides professional education for aspiring winemakers. Located between Sacramento and San Francisco, UC Davis also has colleges and professional schools in biology, engineering, education, law, business, medicine, and veterinary medicine, and it is recognized for its research programs. UC Davis enrolls more than 30,000, including about 6,000 graduate students, and it has a student-faculty ratio of 16:1.",N/A
NYU (New York University),10000+ Employees,"New York, NY",Colleges & Universities,4.4,4.3,4.1,4.2,3.8,3.9,4.0,"See All 2,975 Reviews","Higher education is at the core of this Big Apple institution. The setting and heritage of New York University (NYU) make it one of the nation's most popular educational institutions. With more than 50,000 students attending its 14 schools and colleges, NYU is among the largest private schools in the US. Its Tisch School of the Arts is well-regarded, and its law school and Leonard N. Stern School of Business are among the foremost in the country. NYU occupies five major centers in Manhattan; its Washington Square campus is in the heart of Greenwich Village. The school was founded in 1831. Notable alumni include former Federal Reserve Chairman Alan Greenspan and film producer Oliver Stone.",N/A
"Texas A&M University
Hiring Surge",10000+ Employees,"College Station, TX",Colleges & Universities,4.4,4.0,4.3,4.0,3.9,3.7,3.9,"See All 3,106 Reviews","Texas A&M opened its doors in 1876 as the state's first public institution of higher learning. Today, we stand as a research-intensive flagship university dedicated to sending Aggie leaders out into the world prepared to take on the challenges of tomorrow.

Located in the heart of the Houston-Dallas-Austin triangle, within a two-hour drive of 26 million of the state’s 28 million residents, Texas A&M's main campus in College Station is home to more than 62,500 students. Another 5,700 are at the branch campuses in Galveston and Qatar and other locations across Texas.

As one of the world’s leading research institutions, Texas A&M is making significant contributions to scholarship and discovery, including science and technology. With an employee pool of over 3,900 faculty and 5,900 staff, we seek applicants who exemplify the highest performance standards in teaching, research, scholarship, and administration.","Mission: Texas A&M University is dedicated to the discovery, development, communication, and application of knowledge in a wide range of academic and professional fields. Its mission is two-fold: providing the highest quality undergraduate and graduate programs, and developing new understandings through research and creativity. It welcomes and seeks to serve persons of all racial, ethnic and geographic groups as it addresses the needs of an increasingly diverse population and a global economy."
University of Wisconsin-Madison,10000+ Employees,"Madison, WI",Colleges & Universities,4.4,3.8,4.1,4.0,3.8,3.6,4.0,"See All 1,915 Reviews","Since its founding in 1848, this campus has been a catalyst for the extraordinary. As a public land-grant university and prolific research institution, our students, staff, and faculty members partake in a world-class education and solve real-world problems. We’ve changed the way the nation takes its vitamins and brought flamingos to Bascom Hill. We’ve inspired satirists and senators alike. We’ve fearlessly sifted and winnowed to find today’s truths. And with the Wisconsin Idea as our guiding principle, we’re not only changing the 936 acres we call home—Badgers are also creating a better future for Wisconsin, the nation, and the world.
Diversity is a source of strength, creativity, and innovation for UW-Madison. We value the contributions of each person and respect the profound ways their identity, culture, background, experience, status, abilities, and opinion enrich the university community. We commit ourselves to the pursuit of excellence in teaching, research, outreach, and diversity as inextricably linked goals.
The University of Wisconsin-Madison fulfills its public mission by creating a welcoming and inclusive community for people from every background - people who as students, faculty, and staff serve Wisconsin and the world.","Mission: The University of Wisconsin–Madison is the original University of Wisconsin, created at the same time Wisconsin achieved statehood in 1848. It received Wisconsin’s land grant and became the state’s land-grant university after Congress adopted the Morrill Act in 1862. It continues to be Wisconsin’s comprehensive teaching and research university with a statewide, national and international mission, offering programs at the undergraduate, graduate and professional levels in a wide range of fields, while engaging in extensive scholarly research, continuing adult education and public service.

The primary purpose of the University of Wisconsin–Madison is to provide a learning environment in which faculty, staff and students can discover, examine critically, preserve and transmit the knowledge, wisdom and values that will help ensure the survival of this and future generations and improve the quality of life for all. The university seeks to help students to develop an understanding and appreciation for the complex cultural and physical worlds in which they live and to realize their highest potential of intellectual, physical and human development.

It also seeks to attract and serve students from diverse social, economic and ethnic backgrounds and to be sensitive and responsive to those groups which have been underserved by higher education. To fulfill its mission, the university must:

1. Offer broad and balanced academic programs that are mutually reinforcing and emphasize high quality and creative instruction at the undergraduate, graduate, professional and postgraduate levels.
2. Generate new knowledge through a broad array of scholarly, research and creative endeavors, which provide a foundation for dealing with the immediate and long-range needs of society.
3. Achieve leadership in each discipline, strengthen interdisciplinary studies, and pioneer new fields of learning.
4. Serve society through coordinated statewide outreach programs that meet continuing educational needs in accordance with the university’s designated land-grant status.
5. Participate extensively in statewide, national and international programs and encourage others in the University of Wisconsin System, at other educational institutions and in state, national and international organizations to seek benefit from the university’s unique educational resources, such as faculty and staff expertise, libraries, archives, museums and research facilities.
6. Strengthen cultural understanding through opportunities to study languages, cultures, the arts and the implications of social, political, economic and technological change and through encouragement of study, research and service off campus and abroad.
7. Maintain a level of excellence and standards in all programs that will give them statewide, national and international significance.
8. Embody, through its policies and programs, respect for, and commitment to, the ideals of a pluralistic, multiracial, open and democratic society."
In-N-Out Burger,10000+ Employees,"Irvine, CA",Fast-Food & Quick-Service Restaurants,4.4,4.2,4.4,3.8,3.9,4.3,4.2,"See All 1,991 Reviews","Made-to-order hamburgers are in and franchising is out at In-N-Out Burger. The company owns and operates about 250 popular burger joints located primarily in California. The chain's menu features just four basic items -- hamburgers, cheeseburgers, the Double-Double (two patties and two slices of cheese), and french fries -- but patrons are free to customize how their hamburger is prepared. The chain famously does not use microwaves, heat lamps, or freezers, and it has no franchise operators. In-N-Out does offer on-site catering for parties and events with its In-N-Out Cookout Trailers. Harry and Esther Snyder started the family-owned company in 1948.",N/A
Duke University,10000+ Employees,"Durham, NC",Colleges & Universities,4.4,4.2,4.2,4.2,4.0,4.0,4.1,"See All 1,785 Reviews","Duke University is home to nearly 15,000 Blue Devils who attend undergraduate- and graduate-level classes in 10 schools and colleges. Trinity College of Art and Sciences, the Fuqua School of Business, and the Pratt School of Engineering are among the most well known; its law and medical schools are also highly regarded nationally. The private institution has an endowment of about $5 billion and a student-teacher ratio of 8:1. Notable alumni include Richard Nixon, Melinda French Gates, Elizabeth Dole, and talk show host Charlie Rose. Founded in 1838 as Trinity College, Duke adopted its present name in 1924 after American Tobacco Co. magnate James Duke established the Duke Endowment.",N/A
Stanford University,10000+ Employees,"Stanford, CA",Colleges & Universities,4.4,4.3,4.1,3.9,3.8,3.8,4.1,"See All 3,184 Reviews","Stanford is one of the world's leading research universities, boasting respected and entrepreneurial programs in business, earth, engineering, law, medicine, education and humanities and sciences. Stanford serves approximately 7,000 undergraduate students and 9,000 graduate students with a student-teacher ratio of about 4:1. In 2015, Stanford has over 5,000 research projects with a $1.33 billion budget. There are 2,200 faculty members and 13,000 staff members, including employees in the SLAC National Accelerator Laboratory, which is a partnership with the Department of Energy.

Stanford’s campus, consisting of over 8,000 acres, continues to expand beyond The Farm. As the campus grows, with locations throughout Santa Clara and San Mateo counties, so does our pioneering spirit and ability to innovate, discover and explore new fields.

A private institution, Stanford is supported through an endowment of more than $21 billion, one of the largest in the US.","Mission: Stanford University's Founding Grant states the university’s objective is “to qualify its students for personal success, and direct usefulness in life” and its purpose “to promote the public welfare by exercising an influence on behalf of humanity and civilization."" We solve some of the world's most complex problems through the application of research findings and we educate the leaders of the future."
